id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating,bedroom_number,bed_number,bath_number,unit type
789318826053322456,26500124,Regina,Hawaii,South Kona,19.21204976030414,-155.87792855076944,Entire home/apt,99,1,0,2,89,0,New,1.0,1.0,1.0,Tent
787091616569792668,389328968,Kristin,Hawaii,Puna,19.43931695120156,-155.17588680111913,Entire home/apt,210,7,2,3,66,2,New,2.0,2.0,2.0,Home
785733506235784492,133182655,Ivan,Hawaii,North Kona,19.675763736826955,-155.98258484127578,Entire home/apt,184,1,28,1,139,28,4.93,2.0,2.0,1.0,Home
789598807203034396,21265745,Brad And Sarah,Hawaii,North Kona,19.63011001296229,-155.98726722538808,Entire home/apt,224,2,3,60,43,3,5.0,2.0,2.0,2.0,Rental unit
789610291135027728,21265745,Brad And Sarah,Hawaii,North Kona,19.62855976427777,-155.98854352889458,Entire home/apt,215,2,8,60,32,8,4.5,2.0,2.0,2.0,Rental unit
785819412100321025,33163979,David,Hawaii,North Kona,19.6200993,-155.9857097,Entire home/apt,250,3,15,3,205,15,4.93,3.0,3.0,2.0,Rental unit
785890749023147579,2433572,Rebecca,Hawaii,Puna,19.49257,-154.94424,Private room,57,1,7,3,83,7,4.86,1.0,1.0,0.0,Hostel
790627167732386864,41842769,Resortica,Hawaii,South Kohala,19.92356,-155.87594,Entire home/apt,157,1,2,103,316,2,New,2.0,2.0,5.0,Townhouse
790508952806489334,461978454,Rebecca,Hawaii,North Kohala,20.251498302568333,-155.82579026321991,Private room,160,1,3,4,168,3,4.67,1.0,1.0,1.0,Farm stay
790549802203948758,262533942,Sharon,Hawaii,North Kona,19.56171479585748,-155.9620106539673,Private room,159,7,1,22,34,1,New,1.0,1.0,0.0,Resort
787860754612454759,76574816,Vernon,Hawaii,North Kona,19.631514199464124,-155.9870353925051,Entire home/apt,289,3,2,1,152,2,New,2.0,2.0,3.0,Rental unit
790693679460036372,4526562,Petala,Hawaii,Puna,19.590502753603424,-154.9439616482669,Entire home/apt,70,1,18,1,359,18,4.94,1.0,1.0,1.0,Guest suite
787931419126841129,107293305,Gather Vacations,Hawaii,South Kohala,20.0038036752814,-155.8045589537735,Entire home/apt,3070,1,0,313,363,0,New,5.0,5.0,5.0,Home
787960359712498129,178904566,KayLee,Hawaii,North Kona,19.5659471,-155.9669718,Entire home/apt,395,3,3,1,336,3,5.0,2.0,2.0,2.0,Rental unit
790728624824531370,50482854,Marisa,Hawaii,North Kona,19.6125,-155.95358,Entire home/apt,146,1,0,26,122,0,New,2.0,2.0,1.0,Home
790747041287894734,492909171,Kent,Hawaii,Puna,19.451847020457368,-155.24235759111983,Entire home/apt,287,2,19,1,283,19,5.0,2.0,2.0,2.0,Home
788441491485018339,492525724,Hayato,Hawaii,South Kohala,19.91734685050864,-155.88066515755304,Entire home/apt,259,4,13,1,95,13,5.0,2.0,2.0,2.0,Condo
788517887026686103,450044933,Grand Welcome,Hawaii,South Kohala,19.924676240943366,-155.88382629353632,Entire home/apt,216,3,13,67,296,7,4.92,2.0,2.0,2.0,Condo
788518971839876504,450044933,Grand Welcome,Hawaii,South Kohala,19.92273608320848,-155.8823175163035,Entire home/apt,100,3,9,67,290,2,4.11,1.0,1.0,1.0,Condo
788519823128226956,450044933,Grand Welcome,Hawaii,South Kohala,19.923813177381597,-155.88241617354532,Entire home/apt,295,3,6,67,263,2,4.67,3.0,3.0,5.0,Condo
788546566955535424,450044933,Grand Welcome,Hawaii,North Kona,19.615825399051687,-155.9830468722218,Entire home/apt,95,3,8,67,311,3,4.5,1.0,1.0,1.0,Condo
788549101142922586,450044933,Grand Welcome,Hawaii,North Kona,19.56759,-155.96069,Entire home/apt,245,7,9,67,297,2,4.22,2.0,2.0,2.0,Condo
788549651518239661,450044933,Grand Welcome,Hawaii,North Kona,19.60811753952869,-155.97648229501192,Entire home/apt,150,3,15,67,324,5,4.27,2.0,2.0,2.0,Condo
788551109776680687,450044933,Grand Welcome,Hawaii,South Kohala,19.9175192304317,-155.88036623848924,Entire home/apt,322,5,11,67,315,3,4.91,3.0,3.0,3.0,Condo
796101258459012393,5612605,Diana,Hawaii,South Hilo,19.696771904548623,-155.07010678301515,Entire home/apt,135,3,1,15,349,1,New,2.0,2.0,1.0,Rental unit
